commodity,variety,grade,min_price,modal_price,max_price,date,state,district,market,buffer_stock_qty_kg
Potato,Desi/Local,FAQ,16.97,17.97,19.64,2025-09-13,Delhi,Delhi,Azadpur APMC,5974
Salt,Iodized,FAQ,20.52,21.68,22.99,2025-03-01,Maharashtra,Mumbai,Vashi APMC,5150
Masoor Dal,Red,FAQ,81.51,86.53,93.61,2025-06-28,Karnataka,Bengaluru,Yeshwantpur APMC,5270
Garlic,Desi,FAQ,110.63,117.71,125.69,2025-01-26,Delhi,Delhi,Azadpur APMC,5272
Urad Dal,Black,FAQ,96.97,107.43,115.12,2025-05-02,Uttar Pradesh,Lucknow,Dubagga Mandi,4746
Milk,Toned,FAQ,45.46,48.94,53.51,2024-10-27,Uttar Pradesh,Lucknow,Dubagga Mandi,6007
Ginger,Local,FAQ,101.2,106.64,116.6,2025-06-22,Uttar Pradesh,Lucknow,Dubagga Mandi,3481
Atta,Whole Wheat,FAQ,34.81,37.32,39.78,2025-05-21,Karnataka,Bengaluru,Yeshwantpur APMC,5104
Green Chilli,Teja,FAQ,61.49,66.08,71.87,2025-04-12,Maharashtra,Mumbai,Vashi APMC,4833
Atta,Whole Wheat,FAQ,37.25,40.05,42.34,2025-03-20,Uttar Pradesh,Lucknow,Dubagga Mandi,4069
Rice,Basmati/Common,FAQ,38.76,41.4,43.85,2025-09-26,Maharashtra,Mumbai,Vashi APMC,5485
Milk,Toned,FAQ,47.59,50.52,55.09,2025-08-15,Uttar Pradesh,Lucknow,Dubagga Mandi,5195
Sugar,M-30,FAQ,39.35,43.46,46.89,2025-02-26,Karnataka,Bengaluru,Yeshwantpur APMC,5139
Ginger,Local,FAQ,93.12,100.33,109.5,2025-03-09,Maharashtra,Mumbai,Vashi APMC,3662
Tur Dal,Unpolished,FAQ,96.2,105.18,110.61,2024-12-08,Maharashtra,Mumbai,Vashi APMC,5450
Soya Oil,Refined,FAQ,116.95,128.48,135.45,2025-11-24,Delhi,Delhi,Azadpur APMC,4486
Soya Oil,Refined,FAQ,126.92,138.1,147.14,2025-05-15,Maharashtra,Mumbai,Vashi APMC,4031
Ginger,Local,FAQ,88.62,98.21,107.9,2025-05-27,Karnataka,Bengaluru,Yeshwantpur APMC,4074
Rice,Basmati/Common,FAQ,39.55,43.25,47.02,2025-10-31,Karnataka,Bengaluru,Yeshwantpur APMC,5451
Onion,Red/Nashik,FAQ,34.7,38.04,40.27,2025-06-03,Uttar Pradesh,Lucknow,Dubagga Mandi,4464
Wheat,Sharbati,FAQ,30.78,32.84,34.64,2025-05-11,Uttar Pradesh,Lucknow,Dubagga Mandi,5150
Garlic,Desi,FAQ,119.36,129.52,139.53,2025-02-23,Maharashtra,Mumbai,Vashi APMC,4155
Masoor Dal,Red,FAQ,87.6,93.45,100.79,2025-05-04,Uttar Pradesh,Lucknow,Dubagga Mandi,4273
Masoor Dal,Red,FAQ,86.99,95.86,102.96,2025-07-20,Uttar Pradesh,Lucknow,Dubagga Mandi,4288
Tur Dal,Unpolished,FAQ,98.26,108.23,118.48,2025-09-16,Karnataka,Bengaluru,Yeshwantpur APMC,4992
Gram Dal,Desi,FAQ,79.42,86.87,93.83,2025-04-21,Karnataka,Bengaluru,Yeshwantpur APMC,3411
Garlic,Desi,FAQ,101.81,111.54,122.23,2025-10-27,Uttar Pradesh,Lucknow,Dubagga Mandi,5566
Palm Oil,Imported,FAQ,83.85,91.2,97.39,2024-11-11,Karnataka,Bengaluru,Yeshwantpur APMC,4904
Potato,Desi/Local,FAQ,28.66,30.24,32.8,2025-04-18,Delhi,Delhi,Azadpur APMC,4720
Gram Dal,Desi,FAQ,70.17,76.68,80.88,2025-06-04,Delhi,Delhi,Azadpur APMC,4942
Wheat,Sharbati,FAQ,27.66,30.06,31.72,2025-02-01,Karnataka,Bengaluru,Yeshwantpur APMC,5381
Wheat,Sharbati,FAQ,30.88,33.86,36.64,2025-06-07,Uttar Pradesh,Lucknow,Dubagga Mandi,4582
Sunflower Oil,Refined,FAQ,111.46,123.66,135.41,2025-11-07,Karnataka,Bengaluru,Yeshwantpur APMC,5574
Groundnut Oil,Filtered,FAQ,194.57,207.87,225.21,2025-02-16,Maharashtra,Mumbai,Vashi APMC,2080
Garlic,Desi,FAQ,106.03,113.92,119.79,2024-11-05,Uttar Pradesh,Lucknow,Dubagga Mandi,5162
Mustard Oil,Kachi Ghani,FAQ,133.3,145.48,159.37,2025-07-24,Karnataka,Bengaluru,Yeshwantpur APMC,4781
Tomato,Hybrid,FAQ,33.29,36.72,39.63,2024-12-11,Uttar Pradesh,Lucknow,Dubagga Mandi,5056
Garlic,Desi,FAQ,120.43,131.64,142.15,2025-06-22,Karnataka,Bengaluru,Yeshwantpur APMC,3968
Atta,Whole Wheat,FAQ,33.41,36.56,39.07,2025-02-05,Uttar Pradesh,Lucknow,Dubagga Mandi,4810
Tur Dal,Unpolished,FAQ,102.71,113.4,123.68,2025-01-30,Karnataka,Bengaluru,Yeshwantpur APMC,5065
Potato,Desi/Local,FAQ,19.6,21.63,23.19,2025-11-17,Uttar Pradesh,Lucknow,Dubagga Mandi,4991
Masoor Dal,Red,FAQ,79.54,88.34,93.57,2025-07-22,Karnataka,Bengaluru,Yeshwantpur APMC,4452
Sugar,M-30,FAQ,45.2,48.72,52.12,2025-05-07,Delhi,Delhi,Azadpur APMC,4486
Tur Dal,Unpolished,FAQ,97.71,108.19,117.5,2025-08-09,Uttar Pradesh,Lucknow,Dubagga Mandi,4755
Palm Oil,Imported,FAQ,97.66,105.88,115.88,2025-01-30,Uttar Pradesh,Lucknow,Dubagga Mandi,3625
Potato,Desi/Local,FAQ,32.75,35.58,37.92,2025-03-16,Uttar Pradesh,Lucknow,Dubagga Mandi,4428
Garlic,Desi,FAQ,99.62,110.31,117.21,2025-07-12,Karnataka,Bengaluru,Yeshwantpur APMC,5818
Palm Oil,Imported,FAQ,81.92,89.5,94.43,2024-12-30,Uttar Pradesh,Lucknow,Dubagga Mandi,5741
Groundnut Oil,Filtered,FAQ,162.17,172.78,181.7,2024-12-18,Maharashtra,Mumbai,Vashi APMC,5313
Sunflower Oil,Refined,FAQ,116.68,128.3,139.66,2025-11-11,Maharashtra,Mumbai,Vashi APMC,5477
Atta,Whole Wheat,FAQ,31.03,32.72,34.39,2025-11-15,Karnataka,Bengaluru,Yeshwantpur APMC,4969
Gram Dal,Desi,FAQ,69.29,75.85,82.07,2024-10-26,Delhi,Delhi,Azadpur APMC,4441
Tur Dal,Unpolished,FAQ,99.17,108.19,116.58,2025-07-23,Karnataka,Bengaluru,Yeshwantpur APMC,5605
Onion,Red/Nashik,FAQ,27.06,28.87,30.92,2024-11-10,Uttar Pradesh,Lucknow,Dubagga Mandi,5781
Atta,Whole Wheat,FAQ,36.06,38.69,41.48,2025-02-19,Uttar Pradesh,Lucknow,Dubagga Mandi,5089
Tomato,Hybrid,FAQ,41.9,45.01,49.4,2025-06-09,Maharashtra,Mumbai,Vashi APMC,4578
Wheat,Sharbati,FAQ,26.56,29.49,32.43,2025-07-18,Uttar Pradesh,Lucknow,Dubagga Mandi,4579
Urad Dal,Black,FAQ,93.16,99.62,105.29,2025-11-10,Karnataka,Bengaluru,Yeshwantpur APMC,5939
Tomato,Hybrid,FAQ,49.87,53.82,57.34,2025-02-24,Delhi,Delhi,Azadpur APMC,3843
Palm Oil,Imported,FAQ,89.91,97.44,105.69,2025-07-29,Uttar Pradesh,Lucknow,Dubagga Mandi,4698
Groundnut Oil,Filtered,FAQ,190.62,200.7,216.77,2025-01-06,Karnataka,Bengaluru,Yeshwantpur APMC,2898
Salt,Iodized,FAQ,18.32,19.36,20.37,2025-09-04,Karnataka,Bengaluru,Yeshwantpur APMC,5421
