Batch_ID,Warehouse_ID,Location,Commodity,Category,Quantity_MT,Entry_Date,Shelf_Life_Days,Expiry_Date,Days_Until_Expiry,Status
B_0001,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,143,2025-08-08,730,2027-08-08,621,HEALTHY
B_0002,WH_KA_01,"Kolar, Karnataka",Gram (Chana),Pulses,332,2025-07-09,365,2026-07-09,226,HEALTHY
B_0003,WH_KA_01,"Kolar, Karnataka",Rice,Grains,208,2024-12-15,730,2026-12-15,385,HEALTHY
B_0004,WH_TN_01,"Chennai, Tamil Nadu",Salt,Others,405,2025-05-10,1000,2028-02-04,801,HEALTHY
B_0005,WH_WB_01,"Hooghly, West Bengal",Potato,Vegetable,460,2025-01-17,120,2025-05-17,-192,EXPIRED (Loss)
B_0006,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,400,2025-07-13,730,2027-07-13,595,HEALTHY
B_0007,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,356,2025-09-01,730,2027-09-01,645,HEALTHY
B_0008,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,359,2025-07-12,365,2026-07-12,229,HEALTHY
B_0009,WH_MP_01,"Indore, Madhya Pradesh",Mustard Oil,Oils,190,2025-04-30,365,2026-04-30,156,HEALTHY
B_0010,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,72,2025-03-25,15,2025-04-09,-230,EXPIRED (Loss)
B_0011,WH_MP_01,"Indore, Madhya Pradesh",Rice,Grains,374,2025-04-03,730,2027-04-03,494,HEALTHY
B_0012,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,232,2025-01-11,730,2027-01-11,412,HEALTHY
B_0013,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,76,2025-06-12,15,2025-06-27,-151,EXPIRED (Loss)
B_0014,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,90,2025-10-21,730,2027-10-21,695,HEALTHY
B_0015,WH_PB_01,"Ludhiana, Punjab",Wheat,Grains,171,2025-10-04,730,2027-10-04,678,HEALTHY
B_0016,WH_AP_01,"Guntur, Andhra Pradesh",Masur Dal,Pulses,334,2025-05-18,365,2026-05-18,174,HEALTHY
B_0017,WH_TN_01,"Chennai, Tamil Nadu",Salt,Others,63,2025-06-22,1000,2028-03-18,844,HEALTHY
B_0018,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,31,2025-05-29,15,2025-06-13,-165,EXPIRED (Loss)
B_0019,WH_KA_01,"Kolar, Karnataka",Onion,Vegetable,412,2025-09-23,60,2025-11-22,-3,EXPIRED (Loss)
B_0020,WH_PB_01,"Ludhiana, Punjab",Wheat,Grains,117,2025-07-18,730,2027-07-18,600,HEALTHY
B_0021,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,470,2025-08-11,120,2025-12-09,14,CRITICAL: DISPOSE NOW
B_0022,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,81,2025-03-18,365,2026-03-18,113,HEALTHY
B_0023,WH_PB_01,"Ludhiana, Punjab",Wheat,Grains,309,2025-11-20,730,2027-11-20,725,HEALTHY
B_0024,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,160,2025-02-25,365,2026-02-25,92,HEALTHY
B_0025,WH_DL_01,"Najafgarh, Delhi",Rice,Grains,394,2025-03-17,730,2027-03-17,477,HEALTHY
B_0026,WH_DL_01,"Najafgarh, Delhi",Rice,Grains,169,2025-09-06,730,2027-09-06,650,HEALTHY
B_0027,WH_DL_01,"Najafgarh, Delhi",Rice,Grains,491,2025-09-18,730,2027-09-18,662,HEALTHY
B_0028,WH_MH_02,"Latur, Maharashtra",Urad Dal,Pulses,53,2025-09-17,365,2026-09-17,296,HEALTHY
B_0029,WH_DL_01,"Najafgarh, Delhi",Potato,Vegetable,82,2024-11-11,120,2025-03-11,-259,EXPIRED (Loss)
B_0030,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,406,2025-07-19,365,2026-07-19,236,HEALTHY
B_0031,WH_PB_01,"Ludhiana, Punjab",Rice,Grains,244,2025-10-30,730,2027-10-30,704,HEALTHY
B_0032,WH_MH_01,"Nashik, Maharashtra",Sugar,Others,306,2025-09-30,730,2027-09-30,674,HEALTHY
B_0033,WH_UP_01,"Agra, Uttar Pradesh",Potato,Vegetable,441,2025-10-05,120,2026-02-02,69,HEALTHY
B_0034,WH_DL_01,"Najafgarh, Delhi",Rice,Grains,303,2025-10-06,730,2027-10-06,680,HEALTHY
B_0035,WH_DL_01,"Najafgarh, Delhi",Potato,Vegetable,282,2025-02-11,120,2025-06-11,-167,EXPIRED (Loss)
B_0036,WH_PB_01,"Ludhiana, Punjab",Rice,Grains,167,2024-12-02,730,2026-12-02,372,HEALTHY
B_0037,WH_WB_01,"Hooghly, West Bengal",Tomato,Vegetable,234,2025-11-24,15,2025-12-09,14,CRITICAL: DISPOSE NOW
B_0038,WH_KA_01,"Kolar, Karnataka",Tur Dal,Pulses,363,2025-04-12,365,2026-04-12,138,HEALTHY
B_0039,WH_TN_01,"Chennai, Tamil Nadu",Urad Dal,Pulses,106,2025-03-25,365,2026-03-25,120,HEALTHY
B_0040,WH_AP_01,"Guntur, Andhra Pradesh",Moong Dal,Pulses,393,2025-10-17,365,2026-10-17,326,HEALTHY
B_0041,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,355,2025-01-22,730,2027-01-22,423,HEALTHY
B_0042,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,319,2024-12-16,365,2025-12-16,21,WARNING: Sell Soon
B_0043,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,110,2025-04-25,730,2027-04-25,516,HEALTHY
B_0044,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,265,2024-12-14,730,2026-12-14,384,HEALTHY
B_0045,WH_UP_01,"Agra, Uttar Pradesh",Potato,Vegetable,103,2025-09-20,120,2026-01-18,54,HEALTHY
B_0046,WH_TN_01,"Chennai, Tamil Nadu",Salt,Others,360,2025-07-02,1000,2028-03-28,854,HEALTHY
B_0047,WH_DL_01,"Najafgarh, Delhi",Onion,Vegetable,45,2025-02-14,60,2025-04-15,-224,EXPIRED (Loss)
B_0048,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,333,2025-06-13,730,2027-06-13,565,HEALTHY
B_0049,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,405,2025-02-09,365,2026-02-09,76,HEALTHY
B_0050,WH_KA_01,"Kolar, Karnataka",Salt,Others,479,2025-02-07,1000,2027-11-04,709,HEALTHY
B_0051,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,23,2025-01-10,120,2025-05-10,-199,EXPIRED (Loss)
B_0052,WH_MH_01,"Nashik, Maharashtra",Salt,Others,356,2025-02-08,1000,2027-11-05,710,HEALTHY
B_0053,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,279,2025-07-13,365,2026-07-13,230,HEALTHY
B_0054,WH_MH_01,"Nashik, Maharashtra",Onion,Vegetable,10,2025-03-29,60,2025-05-28,-181,EXPIRED (Loss)
B_0055,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,357,2025-03-12,365,2026-03-12,107,HEALTHY
B_0056,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,442,2024-12-24,730,2026-12-24,394,HEALTHY
B_0057,WH_PB_01,"Ludhiana, Punjab",Wheat,Grains,260,2024-12-24,730,2026-12-24,394,HEALTHY
B_0058,WH_UP_01,"Agra, Uttar Pradesh",Wheat,Grains,273,2025-05-28,730,2027-05-28,549,HEALTHY
B_0059,WH_MH_02,"Latur, Maharashtra",Salt,Others,100,2024-12-04,1000,2027-08-31,644,HEALTHY
B_0060,WH_MH_02,"Latur, Maharashtra",Urad Dal,Pulses,129,2025-08-30,365,2026-08-30,278,HEALTHY
B_0061,WH_DL_01,"Najafgarh, Delhi",Potato,Vegetable,293,2025-04-11,120,2025-08-09,-108,EXPIRED (Loss)
B_0062,WH_MH_02,"Latur, Maharashtra",Salt,Others,250,2025-11-21,1000,2028-08-17,996,HEALTHY
B_0063,WH_TN_01,"Chennai, Tamil Nadu",Mustard Oil,Oils,199,2025-04-21,365,2026-04-21,147,HEALTHY
